"number","content"
"1","次の流れ図は10進整数1100を８桁の２進数に変換する処理を表し(ひくく
ている。2進数は下位桁から順に配列の要素NISHIN (8) に格納 NISHIN1から
流れ図のａ及びらに入れる処理はどれか。1出i2は,を２で割った商れる。ここで,
の整数部分を,1ｍ0d２はうを２で割った余りを表す
開始
を入力
変換
8(注1,
ループ端の繰返し指定は,(注)
変換
終値増分変数名初期値
を示す。
終了
I diy.NISHIN CK1mod2
í div 2I mod2NISHIN CK
ウNISHIN K1mod 2j div 2
j=jdiv2NISHIN K_I mod 2
トの値の全ビツ-"
"2","を反転する操作はどれか。８ビツ
16進表記00のビツト列と排他的論理和をとる
ト列と論理和をとる。16進表記00のビツ
イ
のビット列と排他的論理和をとる。ウ16進表記FF
-のビット列と論理和をとる。16進表記F
ある無向グラフ隣接行列を用いて表す。"
"3","ノードとノードの間のエッジの有無を-
ノードを隣接行の隣接行列が次の場合グラフで表現したものはどれか。ここで
エッジが存在ノード間にエッジが存在する場合は1で。列の行と列に対応させて,
しない場合は０で示す。
0-0
g0
はどに対してａ及びōを定数とする関数Iim"
"4","及びg（t）ft-
1+1f0
1ン1とする.аま０,ひもし,れか。ここで
1
平均が60,標準偏差が10の正規分布を表すグラフはどれか。"
"5","ハム
5560656070
1
5060
未満の整数を整数型の変"
"60","以上れ一様な確率で返す関数である.Randomn は,
一連の手続を実行したときＣの値が０になる確率は数AＢ及びＣに対して次の-
どれか。
A=RandomG10
B = Random(10
C=A-B
2100
に合致するものはどれか。"
"7","変数名次のBNFで定義される
数字一田＝0111213141516171819
く英字〜冊＝Ａ1BTCIDTEIF
く英数字岑：=く英字>１く数字え！-
く変数名うく英数字く英字つ1く変数名
ウ3E5イB39246F51
スタックを利用して、ＳＴＡ,CＫという"
"8","Ａ,C,Ｋ,Ｓ,Ｔの順に文字が入力される。
どのス順に文字を出力するために。最小限必要となるスタックは何個か。ここで
タツクにおいてもポツプ操作が実行されたときには必ず文字を出力する。また,ス
タツク間の文字の移動は行わない。
ウ３71イ２
の状態にの流れ図を実行すると配列Ｂが図３"
"9","配列Ａが図2の状態のとき,図1
Ｂの要素をそれぞれここで配列A,図１のａに入れる操作はどれかよった。
A（i,ｐBCiとする.
開始
ループ1
(注)10,1,7
ループ2
7(注)0,1,
Ｂの状態図3図2Aの状態実行後の配列配列ループ2
ループ1
ループ端の繰返し指定は,(注)
増分終値変数名：初期値
を示す
終
流れ図図1
1Ｕ=ＡＧ,j)アB (7-i,B(7-i,7－i）-AG,う)
工7-1-AG,1ウBGi,.=AG,1B（i, 7-i)"
"1010","進法で５桁の数ａノンツハッシュ法を用いて配列に格納したい。a2 ag aj a, を,
シュ関数を求めたハッシユ値に対応する位置13とし,mod Ca]+a,+a?+a4 tas .
は配列のどの位置に入るか。の配列要素に格納する場合。54321こで
13前は,まを13で割った余りとする。mod,
位置配列
12
」-
に対して次のとおりを考える。"
"11","自然数れ(5)の値再帰的に定義される関数fn)
はどれか
ifれミ1Fn）:1n+fn-1)thenelsereturnretur!
,1525"
"12","がある。の1命令を平均1GHZのクロックで動作するCPUCPUは,機械語の
CPUは1秒間に平均何万命令クロツクで実行できることが分かっている。この08
を実行できるか
」」イ125,000250ア12580,000"
