number,content,correct_answer,image_url,choice_1,choice_2,choice_3,choice_4,explanation_url
1,16進小数0.Cを10進小数に変換したものはどれか。,ウ,,0.12,0.55,0.75,0.84,https://www.fe-siken.com/kakomon/05_menjo/q1.html
5,双方向のポインタをもつリスト構造のデータを表に示す。この表において新たな社員Gを社員Aと社員Kの間に追加する。追加後の表のポインタa～fの中で追加前と比べて値が変わるポインタだけを全て列記したものはどれか。,ウ,[IMAGE_HERE],a，b，e，f,a，e，f,a，f,b，e,https://www.fe-siken.com/kakomon/05_menjo/q5.html
9,コンピュータの高速化技術の一つであるメモリインタリーブに関する記述として，適切なものはどれか。,エ,,主記憶と入出力装置，又は主記憶同士のデータの受渡しをCPU経由でなく直接やり取りする方式,主記憶にデータを送り出す際に，データをキャッシュに書き込み，キャッシュがあふれたときに主記憶へ書き込む方式,主記憶のデータの一部をキャッシュにコピーすることによって，レジスタと主記憶とのアクセス速度の差を縮める方式,主記憶を複数の独立して動作するグループに分けて，各グループに並列にアクセスする方式,https://www.fe-siken.com/kakomon/05_menjo/q9.html
11,エッジコンピューティングの説明として，最も適切なものはどれか。,エ,,画面生成やデータ処理をクライアント側で実行することによって，Webアプリケーションソフトウェアの操作性や表現力を高めること,データが送信されてきたときだけ必要なサーバを立ち上げて，処理が終わり次第サーバを停止してリソースを解放すること,複数のサーバやPCを仮想化して統合することによって一つの高性能なコンピュータを作り上げ，並列処理によって処理能力を高めること,利用者や機器に取り付けられたセンサなどのデータ発生源に近い場所にあるサーバなどでデータを一次処理し，処理のリアルタイム性を高めること,https://www.fe-siken.com/kakomon/05_menjo/q11.html
17,3次元グラフィックス処理におけるクリッピングの説明はどれか。,イ,,CG映像作成における最終段階として，物体のデータをディスプレイに描画できるように映像化する処理である。,画像表示領域にウィンドウを定義し，ウィンドウの外側を除去し，内側の見える部分だけを取り出す処理である。,スクリーンの画素数が有限であるために図形の境界近くに生じる，階段状のギザギザを目立たなくする処理である。,立体感を生じさせるために，物体の表面に陰影を付ける処理である。,https://www.fe-siken.com/kakomon/05_menjo/q17.html
20,"次の関数従属を満足するとき，成立する推移的関数従属はどれか。ここで，“A→B”は Bが Aに関数従属していることを表し，“A→｛B，C｝”は，“A→B”かつ“A→C”が成立することを表す。
〔関数従属〕
｛注文コード，商品コード｝→｛顧客注文数量，注文金額｝
注文コード →｛注文日，顧客コード，注文担当者コード｝
商品コード →｛商品名，仕入先コード，商品販売価格｝
仕入先コード →｛仕入先名，仕入先住所，仕入担当者コード｝
顧客コード →｛顧客名，顧客住所｝",ウ,,仕入先コード → 仕入担当者コード → 仕入先住所,商品コード → 仕入先コード → 商品販売価格,注文コード → 顧客コード → 顧客住所,注文コード → 商品コード → 顧客注文数量,https://www.fe-siken.com/kakomon/05_menjo/q20.html
22,トランザクションが，データベースに対する更新処理を完全に行うか，全く処理しなかったかのように取り消すか，のどちらかの結果になることを保証する特性はどれか。,イ,,一貫性（consistency）,原子性（atomicity）,耐久性（durability）,独立性（isolation）,https://www.fe-siken.com/kakomon/05_menjo/q22.html
25,IPv4ネットワークにおいて，ネットワークの疎通確認に使われるものはどれか。,エ,,BOOTP,DHCP,MIB,ping,https://www.fe-siken.com/kakomon/05_menjo/q25.html
30,ドライブバイダウンロード攻撃に該当するものはどれか。,ウ,,PCから物理的にハードディスクドライブを盗み出し，その中のデータをWebサイトで公開し，ダウンロードさせる。,電子メールの添付ファイルを開かせて，マルウェアに感染したPCのハードディスクドライブ内のファイルを暗号化し，元に戻すための鍵を攻撃者のサーバからダウンロードさせることと引換えに金銭を要求する。,利用者が悪意のあるWebサイトにアクセスしたときに，Webブラウザの脆弱性を悪用して利用者のPCをマルウェアに感染させる。,利用者に気付かれないように無償配布のソフトウェアに不正プログラムを混在させておき，利用者の操作によってPCにダウンロードさせ，インストールさせることでハードディスクドライブから個人情報を収集して攻撃者のサーバに送信する。,https://www.fe-siken.com/kakomon/05_menjo/q30.html
32,図のような構成と通信サービスのシステムにおいて，Web アプリケーションの脆弱性対策のための WAF の設置場所として，最も適切な箇所はどこか。ここで，WAF には通信を暗号化したり，復号したりする機能はないものとする。,ウ,[IMAGE_HERE],a,b,c,d,https://www.fe-siken.com/kakomon/05_menjo/q32.html
37,次の流れ図において，① → ② → ③ → ⑤ → ② → ③ → ④ → ② → ⑥の順に実行させるために，①においてmとnに与えるべき初期値aとbの関係はどれか。ここで，a，bはともに正の整数とする。,エ,[IMAGE_HERE],a＝2b,2a＝b,2a＝3b,3a＝2b,https://www.fe-siken.com/kakomon/05_menjo/q37.html
39,アジャイル開発手法のスクラムにおいて，開発チームの全員が1人ずつ“昨日やったこと”，“今日やること”，“障害になっていること”などを話し，全員でプロジェクトの状況を共有するイベントはどれか。,ウ,,スプリントプランニング,スプリントレビュー,デイリースクラム,レトロスペクティブ,https://www.fe-siken.com/kakomon/05_menjo/q39.html
41,図に示すとおりに作業を実施する予定であったが，作業Aで1日の遅れが生じた。各作業の費用増加率を表の値とするとき，当初の予定日数で終了するために掛かる増加費用を最も少なくするには，どの作業を短縮すべきか。ここで，費用増加率とは，作業を1日短縮するために要する増加費用のことである。,エ,[IMAGE_HERE],B,C,D,E,https://www.fe-siken.com/kakomon/05_menjo/q41.html
