number,content,correct_answer,image_url,choice_1,choice_2,choice_3,choice_4,explanation_url
1,次の流れ図は，10進整数j（0＜j＜100）を8桁の2進数に変換する処理を表している。2進数は下位桁から順に，配列の要素NISHIN(1)からNISHIN(8)に格納される。流れ図のa及びbに入れる処理はどれか。ここで，j div 2はjを2で割った商の整数部分を，j mod 2はjを2で割った余りを表す。,エ,[IMAGE_HERE],j ← j div 2　／　NISHIN(k) ← j mod 2,j ← j mod 2　／　NISHIN(k) ← j div 2,NISHIN(k) ← j div 2　／　j ← j mod 2,NISHIN(k) ← j mod 2　／　j ← j div 2,
2,8ビットの値の全ビットを反転する操作はどれか。,ウ,,16進表記00のビット列と排他的論理和をとる。,16進表記00のビット列と論理和をとる。,16進表記FFのビット列と排他的論理和をとる。,16進表記FFのビット列と論理和をとる。,
3,ノードとノードの間のエッジの有無を，隣接行列を用いて表す。ある無向グラフの隣接行列が次の場合，グラフで表現したものはどれか。ここで，ノードを隣接行列の行と列に対応させて，ノード間にエッジが存在する場合は1で，エッジが存在しない場合は0で示す。,ウ,[IMAGE_HERE],（グラフ ア）,（グラフ イ）,（グラフ ウ）,（グラフ エ）,
4,a及びbを定数とする関数f(t)=a/(t+1)及びg(t)=b/(t²-t)に対して，lim[t→∞]g(t)/f(t)はどれか。ここで，a≠0，b≠0，t＞1とする。,ア,,0,1,b/a,∞,
5,平均が60，標準偏差が10の正規分布を表すグラフはどれか。,ア,[IMAGE_HERE],（グラフ ア）,（グラフ イ）,（グラフ ウ）,（グラフ エ）,
6,"Random(n)は，0以上n未満の整数を一様な確率で返す関数である。整数型の変数A，B及びCに対して次の一連の手続を実行したとき，Cの値が0になる確率はどれか。
A = Random(10)
B = Random(10)
C = A－B",ウ,,1/100,1月20日,1月10日,1月5日,
7,"次のBNFで定義される＜変数名＞に合致するものはどれか。
＜数字＞ ::= 0|1|2|3|4|5|6|7|8|9
＜英字＞ ::= A|B|C|D|E|F
＜英数字＞ ::= ＜英字＞|＜数字＞|_
＜変数名＞ ::= ＜英字＞|＜変数名＞＜英数字＞",エ,,_B39,246,3.00E+05,F5_1,
8,A，C，K，S，Tの順に文字が入力される。スタックを利用して，S，T，A，C，Kという順に文字を出力するために，最小限必要となるスタックは何個か。ここで，どのスタックにおいてもポップ操作が実行されたときには必ず文字を出力する。また，スタック間の文字の移動は行わない。,ウ,,1,2,3,4,
9,配列Aが図2の状態のとき，図1の流れ図を実行すると，配列Bが図3の状態になった。図1のaに入れる操作はどれか。ここで，配列A，Bの要素をそれぞれA(i，j)，B(i，j)とする。,エ,[IMAGE_HERE],B(7－i，7－j) ← A(i，j),B(7－j，i) ← A(i，j),B(i，7－j) ← A(i，j),B(j，7－i) ← A(i，j),
10,10進法で5桁の数a₁a₂a₃a₄a₅を，ハッシュ法を用いて配列に格納したい。ハッシュ関数をmod(a₁+a₂+a₃+a₄+a₅，13)とし，求めたハッシュ値に対応する位置の配列要素に格納する場合，54321は配列のどの位置に入るか。ここで，mod(x，13)は，xを13で割った余りとする。,イ,[IMAGE_HERE],1,2,7,11,
